serie;set;appAfkorting;gekozenExpansionId;rang;score;overlap;appUniekeNamen;cmUniekeNamen;cmProducten;origineelAdvies;keuzeReden;sampleOverlap
Scarlet & Violet;Surging Sparks;SSP;5879;1;0.162;32;188;203;281;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;amulet of hope, babiri berry, brilliant blender, call bell, chill teaser toy, clemont s quick wit, colbur berry, counter gain, cyrano, deduction kit, dragon elixir, drasna, drayton, dusk ball, energy search pro, enriching energy, gravity mountain, jasmine s gaze
Scarlet & Violet;Stellar Crown;SCR;5782;1;0.1184;15;143;103;135;MOGELIJK - handmatig controleren;automatisch gekozen: overlap + vergelijkbare setgrootte;antique cover fossil, antique root fossil, area zero underdepths, bravery charm, briar, crispin, deluxe bomb, glass trumpet, grand tree, gravity gemstone, kofu, lacey, occa berry, payapa berry, sparkling crystal
Scarlet & Violet;Shrouded Fable;SFA;5760;1;0.1881;14;70;77;109;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;academy at night, basic darkness energy, basic metal energy, binding mochi, cassiopeia, colress s tenacity, dangerous laser, earthen vessel, janine s secret art, neutralization zone, night stretcher, poke vital a, powerglass, xerosic s machinations
Scarlet & Violet;Twilight Masquerade;TWM;5691;1;0.1643;29;167;182;267;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;accompanying flute, boomerang energy, buddy buddy poffin, bug catching set, caretaker, carmine, community center, cook, enhanced hammer, festival grounds, handheld fan, hassel, hyper aroma, jamming tower, kieran, lana s aid, legacy energy, love ball
Scarlet & Violet;Temporal Forces;TEF;5589;2;0.1347;23;160;177;263;zwak/alternatief;override: betere setgrootte/productcount dan rang-1;ancient booster energy capsule, awakening drum, bianca s devotion, boxed order, buddy buddy poffin, ciphermaniac s codebreaking, eri, explorer s guidance, full metal lab, future booster energy capsule, hand trimmer, heavy baton, hero s cape, master ball, maximum belt, mist energy, morty s conviction, neo upper energy
Scarlet & Violet;Paldean Fates;PAF;5546;1;0.0807;16;188;204;270;MOGELIJK - handmatig controleren;automatisch gekozen: overlap + vergelijkbare setgrootte;artazon, arven, atticus, clive, electric generator, iono, judge, moonlit hill, nemona, nemona s backpack, nest ball, paldean student, penny, rare candy, technical machine crisis punch, ultra ball
Scarlet & Violet;Paradox Rift;PAR;5444;1;0.139;26;172;196;314;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;ancient booster energy capsule, beach court, counter catcher, cursed duster, defiance vest, earthen vessel, future booster energy capsule, larry, luxurious cape, medical energy, mela, norman, parasol lady, professor sada s vitality, professor turo s scenario, reversal energy, rika, roark
Scarlet & Violet;151;MEW;5328;1;0.0778;13;167;167;210;MOGELIJK - handmatig controleren;automatisch gekozen: overlap + vergelijkbare setgrootte;basic psychic energy, big air balloon, bill s transfer, cycling road, daisy s help, energy sticker, erika s invitation, giovanni s charisma, grabber, leftovers, protective goggles, rigid band, switch
Scarlet & Violet;Paldea Evolved;PAL;5318;1;0.1284;25;172;209;337;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;artazon, basic grass energy, basic water energy, boss s orders ghetsis, bravery charm, calamitous snowy mountain, calamitous wasteland, choice belt, clavell, delivery drone, dendra, falkner, fighting au lait, giacomo, great ball, grusha, iono, jet energy
Scarlet & Violet;Scarlet & Violet Energies;SVE;6324;2;1.0;8;8;8;8;zwak/alternatief;automatisch gekozen: overlap + vergelijkbare setgrootte;basic darkness energy, basic fighting energy, basic fire energy, basic grass energy, basic lightning energy, basic metal energy, basic psychic energy, basic water energy
Scarlet & Violet;Scarlet & Violet;SVI;5223;2;0.1759;35;175;214;315;zwak/alternatief;override: betere setgrootte/productcount dan rang-1;arven, basic fighting energy, basic lightning energy, beach court, crushing hammer, defiance band, electric generator, energy retrieval, energy search, energy switch, exp share, jacq, judge, katy, mesagoza, miriam, nemona, nest ball
Sword & Shield;Crown Zenith;CRZ;5201;2;0.1721;34;153;230;256;zwak/alternatief;override: betere setgrootte/productcount dan rang-1;bea, bede, crushing hammer, darkness energy, digging duo, elesa s sparkle, energy retrieval, energy search, energy switch, fighting energy, fire energy, friends in hisui, friends in sinnoh, grass energy, great ball, hop, leon, lightning energy
Sword & Shield;Silver Tempest;SIT;5142;1;0.1107;21;171;201;266;MOGELIJK - handmatig controleren;automatisch gekozen: overlap + vergelijkbare setgrootte;brandon, candice, capturing aroma, earthen seal stone, emergency jelly, energy switch, forest seal stone, furisode girl, gapejaw bog, gym trainer, lance, leafy camo poncho, primordial altar, professor laventon, quad stone, regenerative energy, serena, unidentified fossil
Sword & Shield;Lost Origin;LOR;5093;1;0.1135;22;174;206;266;MOGELIJK - handmatig controleren;automatisch gekozen: overlap + vergelijkbare setgrootte;arc phone, arezu, box of disaster, collapsed stadium, colress s experiment, damage pump, dark patch, fantina, gift energy, iscan, lady, lake acuity, lost city, lost vacuum, mirage gate, miss fortune sisters, panic mask, riley
Sword & Shield;Astral Radiance;ASR;4979;1;0.1539;28;161;195;271;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;adaman, canceling cologne, choice belt, choy, cyllene, dark patch, double turbo energy, energy loto, feather ball, gapejaw bog, gardenia s vigor, grant, gutsy pickaxe, hisuian heavy ball, irida, jubilife village, kamado, path to the peak
Sword & Shield;Brilliant Stars;BRS;4434;1;0.1177;21;153;195;252;MOGELIJK - handmatig controleren;automatisch gekozen: overlap + vergelijkbare setgrootte;acerola s premonition, barry, blunder policy, cafe master, cheren s care, choice belt, cleansing gloves, collapsed stadium, cynthia s ambition, double turbo energy, fresh water set, friends in galar, gloria, hunting gloves, kindler, magma basin, marnie s pride, pot helmet
Sword & Shield;Fusion Strike;FST;4382;2;0.0942;24;242;262;303;zwak/alternatief;automatisch gekozen: overlap + vergelijkbare setgrootte;adventurer s discovery, battle vip pass, bug catcher, chili and cilan and cress, cook, cram o matic, cross switcher, crossceiver, dancer, elesa s sparkle, farewell bell, fire energy, fusion strike energy, grass energy, judge, power tablet, quick ball, schoolboy
Sword & Shield;Evolving Skies;EVS;4328;1;0.1579;29;176;188;258;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;aroma lady, boost shake, copycat, crystal cave, darkness energy, digging gloves, dream ball, elemental badge, full face guard, gordie, lightning energy, lucky ice pop, metal energy, moon and sun badge, raihan, rapid strike scroll of the flying dragon, rescue carrier, ribbon badge
Sword & Shield;Chilling Reign;CRE;4174;1;0.2049;36;168;180;255;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;agatha, avery, brawly, caitlin, crushing gloves, doctor, dyna tree hill, echoing horn, expedition uniform, fan of waves, fighting energy, fire resistant gloves, flannery, fog crystal, galarian chestplate, honey, impact energy, justified gloves
Sword & Shield;Battle Styles;BST;3675;1;0.1423;21;140;152;206;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;bruno, camping gear, cheryl, energy recycler, escape rope, exp share, fan of waves, korrina s focus, level ball, phoebe, rapid strike energy, rapid strike scroll of swirls, rapid strike style mustard, single strike energy, single strike scroll of scorn, single strike style mustard, sordward and shielbert, tool jammer
Sword & Shield;Vivid Voltage;VIV;3484;1;0.1011;18;171;182;222;MOGELIJK - handmatig controleren;automatisch gekozen: overlap + vergelijkbare setgrootte;allister, bea, beauty, cape of toughness, cara liss, circhester bath, drone rotom, hero s medal, league staff, leon, memory capsule, moomoo cheese, nessa, opal, pokemon center lady, rocky helmet, telescopic sight, wyndon stadium
Sword & Shield;Champion's Path;CPA;3419;1;0.2283;19;70;92;102;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;bede, full heal, great ball, hop, hyper potion, kabu, marnie, milo, piers, poke ball, pokemon center lady, potion, professor s research professor magnolia, rotom bike, rotom phone, sonia, suspicious food tin, team yell grunt
Sword & Shield;Darkness Ablaze;DAA;3199;1;0.0979;18;178;187;227;MOGELIJK - handmatig controleren;automatisch gekozen: overlap + vergelijkbare setgrootte;big parasol, billowing smoke, bird keeper, cape of toughness, capture energy, familiar bell, glimwood tangle, kabu, old pc, piers, pokemon breeder s nurturing, rare fossil, rose, rose tower, spikemuth, struggle gloves, turbo patch, yell horn
Sword & Shield;Rebel Clash;RCL;3143;1;0.104;19;175;187;232;MOGELIJK - handmatig controleren;automatisch gekozen: overlap + vergelijkbare setgrootte;big charm, burning scarf, capacious bucket, capture energy, cursed shovel, dan, full heal, galar mine, milo, nugget, oleana, poke ball, scoop up net, skyla, sonia, tool scrapper, training court, turffield stadium
Sword & Shield;Sword & Shield;SSH;2921;3;0.1662;31;161;203;258;zwak/alternatief;override: betere setgrootte/productcount dan rang-1;air balloon, aurora energy, bede, big charm, crushing hammer, energy retrieval, energy search, energy switch, evolution incense, great ball, hop, hyper potion, lucky egg, lum berry, marnie, metal saucer, ordinary rod, pal pad
Other;Legendary Collection;LC;1535;1;0.1;11;110;110;115;MOGELIJK - handmatig controleren;automatisch gekozen: overlap + vergelijkbare setgrootte;bill, challenge, energy retrieval, full heal energy, mysterious fossil, pokemon breeder, pokemon trader, potion, potion energy, scoop up, the boss s way
Sun & Moon;Cosmic Eclipse;CEC;2644;1;0.1306;28;203;221;285;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;beastite, bellelba and brycen man, chaotic swell, clay, cynthia and caitlin, dragonium z dragon claw, draw energy, erika, giant hearth, great catcher, guzma and hala, island challenge amulet, lana s fishing rod, lillie s full force, lillie s poke doll, mallow and lana, martial arts dojo, misty and lorelei
Sun & Moon;Unified Minds;UNM;2487;1;0.1359;29;202;220;293;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;blaine s quiz show, blizzard town, blue s tactics, bug catcher, channeler, cherish ball, coach trainer, dark city, ear ringing bell, flyinium z air slash, giant bomb, giant hearth, great potion, grimsley, hapu, karate belt, misty s favor, normalium z tackle
Sun & Moon;Unbroken Bonds;UNB;2437;1;0.1353;26;182;198;266;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;beast bringer, chip chip ice axe, devolution spray z, dusk stone, dust island, electromagnetic radar, energy spinner, fairy charm ability, fire crystal, giovanni s exile, green s exploration, janine, koga s trap, lt surge s strategy, martial arts dojo, metal core barrier, molayne, pokegear 3 0
Sun & Moon;Team Up;TEU;2407;1;0.1437;24;152;176;228;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;bill s analysis, brock s grit, buff padding, dana, dangerous drill, electrocharger, erika s hospitality, evelyn, fairy charm ub, grass memory, ingo and emmet, jasmine, judge whistle, lavender town, metal goggles, morgan, nanu, nita
Sun & Moon;Lost Thunder;LOT;2370;1;0.1078;21;181;203;275;MOGELIJK - handmatig controleren;automatisch gekozen: overlap + vergelijkbare setgrootte;adventure bag, aether foundation employee, choice helmet, counter gain, custom catcher, electropower, faba, judge, kahili, lost blender, memory energy, mina, mixed herbs, moomoo milk, morty, net ball, professor elm s lecture, sightseer
Sun & Moon;Celestial Storm;CES;2320;1;0.1909;29;140;159;219;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;acro bike, apricorn maker, beast ball, bill s maintenance, copycat, energy recycle system, energy switch, fisherman, friend ball, hau, hiker, hustle belt, last chance potion, life herb, lisia, lure ball, pokenav, rainbow brush
Sun & Moon;Forbidden Light;FLI;2075;1;0.1238;15;113;126;184;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;beast ring, bonnie, crasher wake, diantha, eneporter, energy recycler, fossil excavation map, judge, lady, lysandre labs, metal frying pan, mysterious treasure, ultra recon squad, ultra space, unidentified fossil
Sun & Moon;Ultra Prism;UPR;2065;1;0.1414;21;139;154;215;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;ancient crystal, crushing hammer, cynthia, electric memory, escape board, fire memory, gardenia, lana, lillie, looker, looker whistle, lusamine, mars, missing clover, mt coronet, order pad, pal pad, peeking red card
Sun & Moon;Crimson Invasion;CIN;1843;1;0.1291;14;104;111;150;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;counter catcher, counter energy, dashing pouch, devoured field, fighting memory, gladion, lusamine, olivia, peeking red card, psychic memory, sea of nothingness, warp energy, water energy, wishful baton
Sun & Moon;Shining Legends;SLG;1842;1;0.1824;13;70;72;91;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;damage mover, double colorless energy, energy retrieval, great ball, hau, lillie, pokemon breeder, pokemon catcher, sophocles, super scoop up, switch, ultra ball, warp energy
Sun & Moon;Burning Shadows;BUS;1824;1;0.1627;23;135;145;222;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;acerola, bodybuilding dumbbells, choice band, darkness energy, escape rope, fairy energy, fire energy, guzma, kiawe, lana, mount lanakila, multi switch, olivia, plumeria, po town, rescue stretcher, rotom dex poke finder mode, sophocles
Sun & Moon;Guardians Rising;GRI;1800;1;0.1479;21;135;146;242;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;aether paradise conservation area, altar of the moone, altar of the sunne, aqua patch, brooklet hill, choice band, double colorless energy, energy loto, energy recycler, enhanced hammer, field blower, fighting energy, grass energy, hala, hau, lightning energy, mallow, max potion
Sun & Moon;Sun & Moon;SUM;1745;2;0.2193;33;146;153;235;zwak/alternatief;override: betere setgrootte/productcount dan rang-1;big malasada, crushing hammer, darkness energy, double colorless energy, energy retrieval, energy switch, exp share, fairy energy, fighting energy, fire energy, grass energy, great ball, hau, ilima, lightning energy, lillie, metal energy, nest ball
XY;Evolutions;EVO;1742;1;0.2643;28;104;107;131;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;blastoise spirit link, brock s grit, charizard spirit link, darkness energy, devolution spray, double colorless energy, energy retrieval, fairy energy, fighting energy, fire energy, full heal, grass energy, here comes team rocket, lightning energy, maintenance, metal energy, misty s determination, pidgeot spirit link
XY;Steam Siege;STS;1716;1;0.0918;10;107;110;143;MOGELIJK - handmatig controleren;automatisch gekozen: overlap + vergelijkbare setgrootte;armor fossil shieldon, captivating poke puff, claw fossil anorith, gardevoir spirit link, greedy dice, ninja boy, pokemon ranger, professor sycamore, special charge, steelix spirit link
XY;Fates Collide;FCO;1706;1;0.2297;26;105;118;162;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;alakazam spirit link, altaria spirit link, audino spirit link, bent spoon, chaos tower, devolution spray, dome fossil kabuto, double colorless energy, energy pouch, energy reset, fairy drop, fairy garden, fossil excavation kit, helix fossil omanyte, lass s special, mega catcher, n, old amber aerodactyl
XY;Generations;GEN;1693;2;0.2404;27;111;113;143;zwak/alternatief;override: betere setgrootte/productcount dan rang-1;clemont, crushing hammer, darkness energy, double colorless energy, energy switch, evosoda, fairy energy, fighting energy, fire energy, floral crown, grass energy, imakuni, lightning energy, maintenance, max revive, metal energy, olympia, poke ball
XY;BREAKpoint;BKP;1687;1;0.1635;19;113;118;174;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;all night party, bursting balloon, delinquent, fighting fury belt, great ball, gyarados spirit link, max elixir, max potion, misty s determination, pokemon catcher, potion, professor sycamore, psychic s third eye, puzzle of time, reverse valley, scizor spirit link, skyla, splash energy
XY;BREAKthrough;BKT;1678;1;0.1335;20;141;155;216;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;assault vest, brigette, buddy buddy rescue, burning energy, fisherman, float stone, giovanni s scheme, glalie spirit link, heavy ball, heavy boots, houndoom spirit link, judge, mewtwo spirit link, parallel city, professor s letter, rainbow energy, reserved ticket, skyla
XY;Ancient Origins;AOR;1660;1;0.2048;18;81;92;133;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;ace trainer, ampharos spirit link, dangerous energy, eco arm, energy recycler, energy retrieval, faded town, flash energy, forest of giant plants, hex maniac, level ball, lucky helmet, lysandre, paint roller, sceptile spirit link, steven, trainers mail, tyranitar spirit link
XY;Roaring Skies;ROS;1649;1;0.1765;17;87;102;129;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;double dragon energy, energy switch, gallade spirit link, healing scarf, latios spirit link, mega turbo, rayquaza spirit link, revive, sky field, steven, switch, trainers mail, ultra ball, vs seeker, wally, wide lens, winona
XY;Double Crisis;DCR;1648;1;0.3529;12;34;34;34;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;aqua diffuser, double aqua energy, double magma energy, magma pointer, team aqua admin, team aqua grunt, team aqua s great ball, team aqua s secret base, team magma admin, team magma grunt, team magma s great ball, team magma s secret base
XY;Primal Clash;PRC;1585;1;0.1777;25;127;149;177;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;acro bike, aggron spirit link, archie s ace in the hole, dive ball, energy retrieval, enhanced hammer, escape rope, exp share, fresh water set, gardevoir spirit link, groudon spirit link, kyogre spirit link, maxie s hidden ball trick, professor birch s observations, rare candy, repeat ball, rough seas, scorched earth
XY;Phantom Forces;PHF;1521;1;0.1885;22;111;120;151;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;az, battle compressor team flare gear, dimension valley, double colorless energy, enhanced hammer, gengar spirit link, hand scope, head ringer team flare hyper gear, jamming net team flare hyper gear, lysandre s trump card, manectric spirit link, mystery energy, professor sycamore, robo substitute team flare gear, roller skates, shauna, steel shelter, target whistle team flare gear
XY;Furious Fists;FFI;1584;1;0.1616;17;102;107;129;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;battle reporter, energy switch, fighting stadium, focus sash, fossil researcher, full heal, herbal energy, jaw fossil, korrina, maintenance, mountain ring, sail fossil, sparkling robe, strong energy, super scoop up, tool retriever, training center
XY;Flashfire;FLF;1583;1;0.1228;12;92;101;127;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;blacksmith, fiery torch, lysandre, magnetic storm, pal pad, pokemon center lady, pokemon fan club, protection cube, sacred ash, startling megaphone, trick shovel, ultra ball
XY;XY;XY;1582;2;0.1864;26;135;142;168;zwak/alternatief;override: betere setgrootte/productcount dan rang-1;cassius, darkness energy, double colorless energy, evosoda, fairy energy, fairy garden, fighting energy, fire energy, grass energy, great ball, hard charm, lightning energy, max revive, metal energy, muscle band, professor s letter, professor sycamore, psychic energy
Black & White;Plasma Blast;PLB;1580;1;0.1707;17;97;101;110;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;caitlin, cover fossil, energy retrieval, g scope, iris, master ball, plasma energy, plume fossil, pokemon catcher, professor juniper, rare candy, reversal trigger, root fossil lileep, scoop up cyclone, silver bangle, silver mirror, ultra ball
Black & White;Plasma Freeze;PLF;1579;1;0.1139;13;109;117;131;MOGELIJK - handmatig controleren;automatisch gekozen: overlap + vergelijkbare setgrootte;float stone, frozen city, ghetsis, life dew, max potion, plasma energy, professor juniper, rock guard, shadow triad, superior energy retrieval, team plasma badge, team plasma ball, ultra ball
Black & White;Plasma Storm;PLS;1578;1;0.1166;15;118;135;144;MOGELIJK - handmatig controleren;automatisch gekozen: overlap + vergelijkbare setgrootte;bicycle, colress, colress machine, dowsing machine, escape rope, ether, eviolite, hypnotoxic laser, plasma energy, plasma frigate, random receiver, scramble switch, team plasma grunt, victory piece, virbank city gym
Black & White;Boundaries Crossed;BCR;1577;1;0.111;16;139;147;162;MOGELIJK - handmatig controleren;automatisch gekozen: overlap + vergelijkbare setgrootte;aspertia city gym, bianca, cheren, computer search, crystal edge, crystal wall, energy search, gold potion, great ball, hugh, poke ball, potion, rocky helmet, skyla, switch, town map
Black & White;Dark Explorers;DEX;1575;1;0.1268;13;95;107;127;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;cheren, dark claw, dark patch, enhanced hammer, hooligans jim and cas, n, old amber aerodactyl, pokemon catcher, professor juniper, random receiver, rare candy, twist mountain, ultra ball
Black & White;Next Destinies;NXD;1574;1;0.0833;8;91;99;107;MOGELIJK - handmatig controleren;automatisch gekozen: overlap + vergelijkbare setgrootte;cilan, double colorless energy, exp share, heavy ball, level ball, pokemon center, prism energy, skyarrow bridge
Black & White;Black & White;BLW;1571;2;0.1964;21;94;115;144;zwak/alternatief;override: betere setgrootte/productcount dan rang-1;darkness energy, energy retrieval, energy search, energy switch, fighting energy, fire energy, full heal, grass energy, lightning energy, metal energy, pluspower, poke ball, pokedex, pokemon communication, potion, professor juniper, psychic energy, revive
HeartGold & SoulSilver;Call of Legends;CL;1570;2;0.185;18;96;98;115;zwak/alternatief;override: betere setgrootte/productcount dan rang-1;cheerleader s cheer, copycat, darkness energy, dual ball, fighting energy, fire energy, grass energy, interviewer s questions, lightning energy, lost remover, lost world, metal energy, professor elm s training method, professor oak s new theory, psychic energy, research record, sage s training, water energy
HeartGold & SoulSilver;HS—Triumphant;TM;1569;1;0.0876;9;97;106;111;MOGELIJK - handmatig controleren;automatisch gekozen: overlap + vergelijkbare setgrootte;alph lithograph, black belt, darkrai and cresselia legend, indigo plateau, junk arm, palkia and dialga legend, rescue energy, seeker, twins
HeartGold & SoulSilver;HS—Undaunted;UD;4265;1;0.1131;9;77;81;81;MOGELIJK - handmatig controleren;automatisch gekozen: overlap + vergelijkbare setgrootte;alph lithograph, burned tower, defender, energy exchanger, flower shop lady, legend box, ruins of alph, sage s training, team rocket s trickery
HeartGold & SoulSilver;HS—Unleashed;UL;1567;2;0.153;14;84;96;106;zwak/alternatief;override: betere setgrootte/productcount dan rang-1;alph lithograph, cheerleader s cheer, dual ball, emcee s chatter, energy returner, engineer s adjustments, good rod, interviewer s questions, judge, life herb, pluspower, pokemon circulator, rare candy, super scoop up
HeartGold & SoulSilver;HeartGold & SoulSilver;HS;1566;2;0.2077;25;114;124;141;zwak/alternatief;override: betere setgrootte/productcount dan rang-1;alph lithograph, bill, copycat, darkness energy, double colorless energy, energy switch, fighting energy, fire energy, fisherman, full heal, grass energy, lightning energy, metal energy, moomoo milk, poke ball, pokegear 3 0, pokemon collector, pokemon communication
Platinum;Arceus;AR;1565;1;0.0906;9;82;111;114;MOGELIJK - handmatig controleren;automatisch gekozen: overlap + vergelijkbare setgrootte;beginning door, bench shield, buffer piece, department store girl, energy restore, expert belt, lucky egg, professor oak s visit, ultimate zone
Platinum;Rising Rivals;RR;1563;1;0.109;13;118;120;128;MOGELIJK - handmatig controleren;automatisch gekozen: overlap + vergelijkbare setgrootte;aaron s collection, bebe s search, bertha s warmth, charon s choice, flint s willpower, lucian s assignment, pokemon contest hall, sp energy, sunyshore city gym, team galactic s invention g 109 sp radar, underground expedition, upper energy, volkner s philosophy
